,datetime,power_prices
0,2026-01-01 00:00:00,100.00439343934283
1,2026-01-01 00:30:00,100.05313160372961
2,2026-01-01 01:00:00,99.23669209189626
3,2026-01-01 01:30:00,99.70721629435882
4,2026-01-01 02:00:00,99.63097058382577
5,2026-01-01 02:30:00,99.1750024384377
6,2026-01-01 03:00:00,100.69686229147055
7,2026-01-01 03:30:00,101.13156757173263
8,2026-01-01 04:00:00,101.44113724263785
9,2026-01-01 04:30:00,101.36526249722529
10,2026-01-01 05:00:00,102.98085066256724
11,2026-01-01 05:30:00,103.13774788193018
12,2026-01-01 06:00:00,103.5235746914792
13,2026-01-01 06:30:00,103.73334075569895
14,2026-01-01 07:00:00,105.19592933987136
15,2026-01-01 07:30:00,105.22267445481678
16,2026-01-01 08:00:00,105.96439935744561
17,2026-01-01 08:30:00,106.17410762049504
18,2026-01-01 09:00:00,106.38529790151887
19,2026-01-01 09:30:00,106.6256074897654
20,2026-01-01 10:00:00,106.00361649641674
21,2026-01-01 10:30:00,107.54394278641489
22,2026-01-01 11:00:00,106.45361203812146
23,2026-01-01 11:30:00,105.38659555883449
24,2026-01-01 12:00:00,103.48449943083718
25,2026-01-01 12:30:00,101.47790626646392
26,2026-01-01 13:00:00,102.28316206229856
27,2026-01-01 13:30:00,102.49463713916862
28,2026-01-01 14:00:00,101.55243511110265
29,2026-01-01 14:30:00,102.02884796095454
30,2026-01-01 15:00:00,103.30507424002312
31,2026-01-01 15:30:00,103.8909035184568
32,2026-01-01 16:00:00,105.60650610994543
33,2026-01-01 16:30:00,106.52346244822995
34,2026-01-01 17:00:00,106.57131053197241
35,2026-01-01 17:30:00,105.78530144551357
36,2026-01-01 18:00:00,106.96388362161052
37,2026-01-01 18:30:00,107.76138018192837
38,2026-01-01 19:00:00,108.53710722498451
39,2026-01-01 19:30:00,109.09556255741698
40,2026-01-01 20:00:00,108.28665047249427
41,2026-01-01 20:30:00,108.38646076722705
42,2026-01-01 21:00:00,107.99348318054281
43,2026-01-01 21:30:00,107.97355104363761
44,2026-01-01 22:00:00,107.52870355362674
45,2026-01-01 22:30:00,106.5141514519053
46,2026-01-01 23:00:00,106.51881503772324
47,2026-01-01 23:30:00,105.37668896000093
48,2026-01-02 00:00:00,104.20000689661315
49,2026-01-02 00:30:00,103.99750208764931
50,2026-01-02 01:00:00,103.72223819517451
51,2026-01-02 01:30:00,102.8149987035014
52,2026-01-02 02:00:00,102.72869270294119
53,2026-01-02 02:30:00,103.3810300147416
54,2026-01-02 03:00:00,103.08155276004453
55,2026-01-02 03:30:00,102.68845111436181
56,2026-01-02 04:00:00,103.1605730034468
57,2026-01-02 04:30:00,102.84983860146848
58,2026-01-02 05:00:00,103.77295805179824
59,2026-01-02 05:30:00,104.43567258571308
60,2026-01-02 06:00:00,104.26547949749595
61,2026-01-02 06:30:00,104.0597487119943
62,2026-01-02 07:00:00,104.86342936865998
63,2026-01-02 07:30:00,105.45548664422685
64,2026-01-02 08:00:00,105.66541520934389
65,2026-01-02 08:30:00,105.84444835181999
66,2026-01-02 09:00:00,105.62699985120068
67,2026-01-02 09:30:00,105.44097889996637
68,2026-01-02 10:00:00,105.50293556491236
69,2026-01-02 10:30:00,106.49718468570008
70,2026-01-02 11:00:00,105.41971675986876
71,2026-01-02 11:30:00,104.27989512000639
72,2026-01-02 12:00:00,104.20295601540928
73,2026-01-02 12:30:00,102.90894395934441
74,2026-01-02 13:00:00,104.12531906124494
75,2026-01-02 13:30:00,105.376676531359
76,2026-01-02 14:00:00,105.24742935106647
77,2026-01-02 14:30:00,106.08410121913407
78,2026-01-02 15:00:00,106.17835037342637
79,2026-01-02 15:30:00,106.0901562014042
80,2026-01-02 16:00:00,106.97060871087861
81,2026-01-02 16:30:00,107.62644174634995
82,2026-01-02 17:00:00,108.52797893172223
83,2026-01-02 17:30:00,108.91065533324507
84,2026-01-02 18:00:00,111.60591705844757
85,2026-01-02 18:30:00,112.6953554713464
86,2026-01-02 19:00:00,112.32654783182095
87,2026-01-02 19:30:00,111.5827782442581
88,2026-01-02 20:00:00,110.94082111248858
89,2026-01-02 20:30:00,110.57391629266768
90,2026-01-02 21:00:00,109.57912792984332
91,2026-01-02 21:30:00,109.02461207940243
92,2026-01-02 22:00:00,108.21349379122617
93,2026-01-02 22:30:00,106.85680073310988
94,2026-01-02 23:00:00,106.9838475624231
95,2026-01-02 23:30:00,106.68644455822165
96,2026-01-03 00:00:00,107.00388220750658
97,2026-01-03 00:30:00,106.40502681006441
98,2026-01-03 01:00:00,105.64942776290498
99,2026-01-03 01:30:00,105.72411887713807
100,2026-01-03 02:00:00,105.20274356599364
101,2026-01-03 02:30:00,104.49389519460343
102,2026-01-03 03:00:00,102.7282330641657
103,2026-01-03 03:30:00,103.00046380001714
104,2026-01-03 04:00:00,103.63850548863414
105,2026-01-03 04:30:00,103.71779784889637
106,2026-01-03 05:00:00,104.24695562942941
107,2026-01-03 05:30:00,103.59731659844343
108,2026-01-03 06:00:00,104.68540783460821
109,2026-01-03 06:30:00,104.62325600519893
110,2026-01-03 07:00:00,104.78205678841479
111,2026-01-03 07:30:00,104.64745214487117
112,2026-01-03 08:00:00,104.99014288549115
113,2026-01-03 08:30:00,105.31077182838328
114,2026-01-03 09:00:00,104.71069789553484
115,2026-01-03 09:30:00,104.97816276497642
116,2026-01-03 10:00:00,105.34613753139674
117,2026-01-03 10:30:00,106.31246343309131
118,2026-01-03 11:00:00,107.16063361813656
119,2026-01-03 11:30:00,106.79164554956624
120,2026-01-03 12:00:00,106.26722431473318
121,2026-01-03 12:30:00,107.04273789852864
122,2026-01-03 13:00:00,106.22904107915586
123,2026-01-03 13:30:00,104.66813403172301
124,2026-01-03 14:00:00,104.26968472254634
125,2026-01-03 14:30:00,104.02486105321918
126,2026-01-03 15:00:00,104.05544101875908
127,2026-01-03 15:30:00,104.42781524314717
128,2026-01-03 16:00:00,105.58481784122174
129,2026-01-03 16:30:00,105.0044171355859
130,2026-01-03 17:00:00,106.19947210869782
131,2026-01-03 17:30:00,105.90114285603754
132,2026-01-03 18:00:00,106.24426748164012
133,2026-01-03 18:30:00,105.5617627444131
134,2026-01-03 19:00:00,106.07143668445724
